book_name,book_image,author,page,short_description,programming_language,concept,tool
Building Business Websites with Squarespace 7,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/9/9961ot.jpg,By Miko Coffey,392,Master the tools and techniques of using Squarespace to create professional websites,JavaScript,Web Design,Squarespace
Mastering JavaScript Single Page Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05228_cover.png,By Philip Klauzinski,452,"An in-depth guide to exploring the design, architecture, and techniques behind building sophisticate...",JavaScript,Web Programming,Angular
Mastering AngularJS Directives,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/5/1588os_mockupcover_normal.jpg,By Josh Kurz,210,"Develop, maintain, and test production-ready directives for any AngularJS-based application.",JavaScript,Web Programming,Angular
JavaScript : Moving to ES2015,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/c/0/c06231.png,By Ved Antani,821,Explore and master modern JavaScript techniques with ES2015 in order to build large-scale web applic...,JavaScript,Web Programming,Angular
Babylon.js Essentials,www.packtpub.com/media/catalog/product/placeholder/default/Packt-Website-Logos_265x265px.png,By Julien Moreau-Mathis,200,"Understand, train, and be ready to develop 3D Web applications/video games using the Babylon.js fram...",JavaScript,Web Programming,Babylon.js
Getting Started with CreateJS,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/2/0260os_cover.jpg,By Afshin Mehrabani,102,Design and develop astounding animated web applications using CreateJS.,JavaScript,Web Programming,CreateJS
Learn D3.js,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838645571-original_32.png,By Helder da Rocha,650,Explore the power of D3.js 5 and its integration with web technologies for building rich and interac...,JavaScript,Web Programming,D3
Google Apps Script for Beginners,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/1/2177ot_google20apps.jpg,By Serge Gabet,178,"Building on your basic JavaScript knowledge, this book takes you into the world of Google Apps Scrip...",JavaScript,Web Programming,Google Apps Script
Mastering Immutable.js,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08377_0.png,By Adam Boduch,216,This book shows JavaScript developers how to build highly dependable JavaScript projects using the I...,JavaScript,Web Programming,Immutable.js
Practical Web Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/9/5919os_practical20web20development_.jpg,By Paul Wellens,276,"Learn CSS, JavaScript, PHP, and more with this vital guide to modern web development",JavaScript,Web Programming,jQuery
Learning Behavior-driven Development with JavaScript,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/4/3451_learning20behavior-driven20development20with20javascript.jpg,By Enrique Amodeo,392,Create powerful yet simple-to-code BDD test suites in JavaScript using the most popular tools in the...,JavaScript,Web Programming,jQuery
Lo-Dash Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/8/3867_8330os_lo-dash20essentials_cover.jpg,By Adam Boduch,232,"Implement fast, lean, and readable code effectively with Lo-Dash",JavaScript,Web Programming,Lodash
JavaScript Concurrency,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/2/9233_b05133_javascript20concurrency_.jpg,By Adam Boduch,292,"Build better software with concurrent JavaScript programming, and unlock a more efficient and forwar...",JavaScript,Web Programming,Node.js
Modern JavaScript Applications,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/4/1442os_b05154_modern20javascript20applications.jpg,By Narayan Prusty,330,An example-driven guide that explores the world of modern web development with JavaScript,JavaScript,Web Programming,Node.js
JavaScript at Scale,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b04639_mockupcover_normal-11.jpg,By Adam Boduch,266,"Build web applications that last, with scaling insights from the front-line of JavaScript developmen...",JavaScript,Web Programming,Node.js
Full-Stack React Projects - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781839215414-original_50.jpeg,By Shama Hoque,716,"A practical, project-based guide to full-stack JavaScript web development combining the power of Rea...",JavaScript,Web Programming,React
Isomorphic JavaScript Web Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05226_0.png,By Tomas Alabes,226,Leverage the power of React and Node to build complete web applications in pure JavaScript,JavaScript,Web Programming,React
Android Studio Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/8/3853_android20studio20essentials20update_cov.jpg,By Belén Cruz Zapata,126,A fast-paced guide to get you up and running with Android application development using Android Stud...,Java,Android Development,Android Studio
Android Studio 2 Essentials - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/9/7959os_5459_android20studio20220essentials.jpg,By Belén Cruz Zapata,172,A fast-paced guide to get you up and running with Android application development using Android Stud...,Java,Android Development,Android Studio
Android Studio 4.2 Development Essentials - Java Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781803238814-original_17.jpeg,By Neil Smyth,782,"Developing Android applications using Android Studio 4.2, Java, and Android Jetpack",Java,Android Development,Android Studio
Android Studio 4.0 Development Essentials - Java Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781800562660-original_19.jpeg,By Neil Smyth,795,Explore Android Studio 4.0 and update your skills to build modern applications in Java,Java,Android Development,Android Studio
Android Wear Projects,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06257_cover.png,By Ashok Kumar S,416,A fun way to create interesting and cool apps for your Wearable device using Android programming.,Java,Android Development,Android Wear
Android System Programming,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06099.png,By Roger Ye,470,"Build, customize, and debug your own Android system",Java,Android Development,Android
Android Development with Kotlin,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05986_cover.png,By Marcin Moskala,440,"Learn how to make Android development much faster using a variety of Kotlin features, from basics to...",Java,Android Development,Android
Expert Android Programming,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781786468956-original_26.png,By Prajyot Mainkar,404,Become a pro with the latest Android SDK and create state of the art applications for Android.   ,Java,Android Development,Android
Android Design Patterns and Best Practice,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05685_cover.png,By Kyle Mew,370,"Create reliable, robust, and efficient Android apps with industry-standard design patterns",Java,Android Development,Android
Hands-On Android UI Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08511_cover.png,By Jason Morris,348,Master the art of creating impressive and reactive UIs for mobile applications on the latest version...,Java,Android Development,Android
Gradle for Android,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/8/6828os_gradle20for20android.jpg,By Kevin Pelgrims,172,Automate the build process for your Android projects with Gradle,Java,Android Development,Android
Asynchronous Android Programming - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/2/3248os_5062_asynchronous20android20programming.jpg,By Helder Vasconcelos,394,Unlock the power of multi-core mobile devices to build responsive and reactive Android applications,Java,Android Development,Android
Learning Embedded Android N Programming,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/8/2881os_4293_learning20embedded20android20n20programming_0.jpg,By Ivan Morgillo,282,Create the perfectly customized system by unleashing the power of Android OS on your embedded device,Java,Android Development,Android
Android Programming for Beginners,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05132_cover.png,By John Horton,698,Learn Android application development with this accessible tutorial that takes you through Android a...,Java,Android Development,Android
Android Application Programming with OpenCV,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/2/5206ot_opencv20android20application20programming.jpg,By Joseph Howse,130,For Java developers OpenCV is a fantastic opportunity to benefit from the popularity of image relate...,Java,Android Development,Android
Learning Android Google Maps,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b00100_learning20android20google20maps_.jpg,By Raj Amal W.,356,Integrate Google Maps with your Android application to offer feature-rich and interactive maps,Java,Android Development,Android
Mastering Android Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781785884221.png,By Antonio Pachón Ruiz,298,Learn how to do more with the Android SDK with this advanced Android Application guide which shows y...,Java,Android Development,Android
Android 5 Programming by Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/4/8449os_android20520programming20by20example.jpg,By Kyle Mew,212,Turn your ideas into elegant and powerful mobile applications using the latest Android Studio for th...,Java,Android Development,Android
Learning Android Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/i/m/img6117.jpg,By Raimon Ràfols Montané,320,Build Android N applications using modern techniques and libraries to get your own high-quality apps...,Java,Android Development,Android
Voice Application Development for Android,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/2/5297os_frontcover.jpg,By Michael F. McTear,134,A practical guide to develop advanced and exciting voice applications for Android using open source ...,Java,Android Development,Android
Asynchronous Android,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781783286874.png,By Steve Liles,146,As an Android developer you know you’re in a competitive marketplace. This book can give you the edg...,Java,Android Development,Android
Android Application Development Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/i/m/img6195.jpg,By Rick Boyer,428,Over 100 recipes to help you solve the most common problems faced by Android Developers today,Java,Android Development,Android
Learning Android Application Testing,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/3/5339os.jpg,By Paul Blundell,274,Improve your Android applications through intensive testing and debugging,Java,Android Development,Android
Android 4: New Features for Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/5/9526os_cov.jpg,By Murat Aydin,166,Develop Android applications using the new features of Android Ice Cream Sandwich with this book and...,Java,Android Development,Eclipse
Android Application Development with Maven,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/1/0176_application20development20with20maven_cov_0.jpg,By Patroklos Papapetrou,192,Learn how to use and configure Maven to support all phases of the development of an Android applicat...,Java,Android Development,Maven
Mastering OpenCV Android Application Programming,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/2/8204os_mastering20opencv20android20programming.jpg,By Salil Kapur,216,Master the art of implementing computer vision algorithms on Android platforms to build robust and e...,Java,Android Development,OpenCV
Apache Tomcat 7 Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/6/6624os_apache20tomcat20720essentials.jpg,By Tanuj Khare,294,"This book takes you from beginner to expert in logical stages, covering all the essentials of Tomcat...",Java,Application Development,Apache Tomcat
Tomcat 6 Developer's Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/2/7283_mockupcover.jpg,By Damodar Chetty,416,Understanding how a servlet container actually works will add greatly to your Java EE web programmin...,Java,Application Development,Apache Tomcat
Instant JRebel,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/8/8801ot_instant20jrebel20how-to.jpg,By Jonathan Lermitage,46,Accelerate your code development dramatically with this practical guide,Java,Application Development,Apache Tomcat
